product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,user_id,user_name,review_id,review_title
B0085W2MUQ,Orpat HHB-100E 250-Watt Hand Blender (White),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,765,970,0.21,4.2,"6,055","AEQX3KIYFY6RCTFIX2J76NVKPF3Q,AGHE2Y6SEZXUO5QR44FVYOZ52B5A,AFU46CW62ED472TF44RSU3HQ7HQA,AFOCLJYM3NII6TR3FOJVXFTY2SLA,AFJDCQHDXSOYUGXT2X3FCUO7K33Q,AFPHGWJFEN2UK47F2RDYBL6YUAZA,AG7O2DWNCAQIAMWYENDUQG3P5FPA,AFKB6MWYZHS44ZDTVNSMRGBR2CGA","Boo,Jeevan Kumar,Shivam Jangra,Manzoor,Manish,Yashwant Panchal,Santosh Kumar Saini,Chandra  S  Sharma","R3R9NQXE7ERW69,R31DY4L4738GNN,R3347MGIFGCWJS,R263YLUZGHS5XD,R1ETYQQ9DO5CT3,R2D2D3D80JZBY3,RB0Q5W9URO8ZE,R3SYQPLCIXHS1E","Better than I expected!,Good,Good product,Great durability and original products,Very Nice !,Good product,Good,Good product"
B09474JWN6,"HealthSense Rechargeable Lint Remover for Clothes | Fuzz and Fur Remover | Electric Fabric Shaver, Trimmer for Clothes, Carpet, Sofa, Sweaters, Curtains | One-Year Warranty Included - New-Feel LR350","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",999,"1,500",0.33,4.2,386,"AFXT4M4YZCGYWUG22BMXEOB7VUOA,AEZWBVOWAZGCLKUNZXNBRCMWR2TQ,AH2IMO7T23MIAIHRLZGUSPHEXSZQ,AFNIVT3EJUTT7FKZW6GZVEWWT7HQ,AEJ4WWMJAKONQU4XNWCKIGA5U4LQ,AGEMLCWZLIJVZMIMPK3J4NEX5SMA,AFP7CS7L7WZM3OXFXC77IPNINGUA,AGJCU3HCKI6FYPKYS6FBZGJOQJ6A","GB SLG,Jemin,Ashwini Vetekar,Kusum,sonu ali,Amazon Customer,Amazon Customer,rinku singh","RVV3VEBYM65XS,R25CPGMH2YOEGC,RL1N0IR94UURO,RJDDXBOXLND1S,R1RIAS936O3KJB,R2HJLACK6M123R,R37WC2OOJ7EH00,R552K8E1PGVSB","👍 nice,Lint removed instantly and effortlessly,Amazing product...worth the money,Best purchase till date,Good,Works as expected,Good quality,Must have product for Winter clothes"
B09G2VTHQM,"AGARO Classic Portable Yogurt Maker, 1.2L Capacity, Electric, Automatic, Grey and White, Medium (33603)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers,587,"1,295",0.55,4.1,557,"AGYTFOW77SU6CYA7L2ID3IYBWMLA,AHAHGFYVEV3DXUG3GQFCUPBSHTZQ,AEOVVK7XRSH3T5SSQLE42FWIY3RQ,AE2XSRIZGIHUEHFRYKTLVQIKYFKA,AGHEDHPCRHKYDPXWSKRKEP7HLNDA,AGEM42HY6YHDGMWMGZYPLVHA27XA,AEHXNDAJNJXBV4NGZ2ZWKIPPJREQ,AGQ2KOOSNRJVNY3PYFXFZPRKDIDA","Hem,Anya,Deepak Roy,ASHUTOSH PANDEY,Srinivas,PJ,9703041496,O N Misra","R243ZL6I5OCPFC,RMRDDMYPHJVVP,R3T10OKWTH8OE8,RMG3T7RJ48ZLD,R3UFE6QT0QHH7G,R3X13NSZ9R7V8,RDV1T7ZH0FK06,RUQIUJ24RX540","Very easy to use curd maker,Excited to try it,Good product to settle hassle free yogurt,Checking now,Good Product at this Price,Good product,Good,Best yogurt maker at this price range"
B07R679HTT,AGARO Imperial 240-Watt Slow Juicer with Cold Press Technology,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers,"12,609","23,999",0.47,4.4,"2,288","AHJT2MQLGOFNAFFNLLJGIYO5LT5Q,AHVXXQOUU54RYRBWFDE7VI3S5PLA,AF4TTIEDYAPHWU7WG5UTJM345ZHQ,AH4CZ72FCY3JIQJAEGG3IL5MOC3Q,AHYALQ3NLFMTU52IWFICXNJIC7VA,AEIJBUDBWBW6XM22W5US5BWDBFYA,AH722R3XI2Z5PC7QQ6YUEXE6V2DA,AHWW4TSZL3AGYOBMIKJHP56I4O6Q","Karan Singh,Sajan Gupta,sandeep saini,Tarun Kumar,Yanala Raghuvamshi Reddy,Sravani,Amazon Customer,gaurav rastogi","R3URL5J0TF2CFR,R37JPC46NZUYM4,R1OQKLY9Q4GY95,R32GL6C68NHZHW,RROVBM9HC5VHW,RYKSWQWZ75CWA,R1DIINFPSDUN2C,R2YE4LXQQUWF7F","Overall Nice Product,Must buy product,Product is good to use.,Tasty and Healthy juice,Good,Good product,material,Just got it"
B00B7GKXMG,Wipro Smartlife Super Deluxe Dry Iron- 1000W,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",699,850,0.18,4.1,"1,106","AHC7U7MTAN2Y2T6X2G43SWSQHETQ,AFN6JOIM4WB7CBNNAM7JQJAJVZNQ,AER7ER4GHJ65LKQFSIRZG6DSEC5Q,AF6PJDQ5GNVGTIYXA5ZCTCKBLHEA,AHU5Q5IFZNU5KKPBZBP2Q63V5NFQ,AEBY74RXWDNJOHARPUMVQT5MY5XA,AFLIUDPXTMHWUWXDEPUT72WCMQAQ,AFIOG6MKUPF37DAJ5VTKKPFG62AQ","manjula,Rishi Kumar Mishra,Tankala sushma,Sunil Kumar Rajak,AKSHAY,UMME KULSUM,Lx,Sangeeta wandakar","R1ZMYNJKIPID9R,R21HYR2IZWHCTU,RF3YHF01ASGWA,R10AUP1PXSZ48T,R2BF4IQECR3SFS,R1QSF7UGCDTRKX,R3DE0HC1JNBC6C,RLPLHEPRNO61J","it s very nice and easy to use,Good quality...go and purchase,Good,Good quality,Good product 👍,Good,Value for money @600 ,Good"
B07H3N8RJH,"AmazonBasics Cylinder Bagless Vacuum Cleaner with Power Suction, Low Sound, High Energy Efficiency and 2 Years Warranty (1.5L, Black)","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums","3,799","6,000",0.37,4.2,"11,935","AGRAAUFFZVW3L5L4MV65HRI63NPA,AGSMGWHNRQAZOOIPF7UOSNBQDNIQ,AFJZWYEHRGAPQPS5N64LTC3JOCXA,AHERFNSW6YQVDARIDK6WI3GFTCLA,AH2R6HPCGKBGV62HAZ3BH3HFMIPQ,AFAR6KANGGM4XIVC6ZDTSEONGR6A,AE2WVSMP7ZOFNGQWHUPQNRZHLOVQ,AEJNLPO52JIB3UFIIIGFMQBJCJLQ","Liliput99,umamaheswaran,Alina,Prasanthi,Amazon Customer,Nissam kollam,Kaviya,Unknown","R3RFDGR8TPI8RK,RAKVMHE1HIAWS,R993RWWGJ9AOK,RG1S054Z1LNM,RXNSR6DWHY21T,R2UAN2MTFP5KVM,RVXBEXV3GDXD8,R3NEQG8JV6357R","Good suction power, enough for most cleaning,Worth for the price given,Okayish,Budget vacuum cleaner.,Very nice product worth it 😄,Best vacuum cleaner,It's a really good worthy product,Simply superb"
B07K2HVKLL,Crompton IHL 251 1500-Watt Immersion Water Heater with Copper Heating Element and IP 68 Protection,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",640,"1,020",0.37,4.1,"5,059","AGD2UEWN67Y75EOCKEJE7TSOKPDA,AGD4TUF2TI74HZLJF4SEZHSJL5LQ,AEVI6BPCNUCWF43ZU36XOMZAZUSQ,AGCRBPV45GJOL34GSLRX4FPLED7A,AE4IXYSBU6N2L4ABI3FPVKYOL4XQ,AGKCZKL5F5SWMXTE7EOOX2TVAP6A,AHAWYKI6SKVO2NGCZ4BDJ4WWSZCQ,AE6MBEP4HN5HDV6LIEEN54UBRPWQ","Nikhil Kumar Singh,bhanu,Mallikarjun g.,RM,Deepak,sayan pal,Deepak,CHANDAN JHA","R88E54B144DD0,R3FL7Q9VYK7FX,R179TG3O7PDRPF,R3Q8O6PFUVQU7A,R8AM97GFJ0FQP,R1XSLD1GQ10QW7,R1AN77ZWAV7W2O,R1JOWRTOHMS9W3","Nice product,Product not Quality donot buy,Wonderful product,Power Indicator is Missing,Excellent product,Value for money product,rod water heater,पानी गर्म होने में 15 मिनट से ज्यादा टाइम लेता हैं"
B09MQ9PDHR,SaiEllin Room Heater For Home 2000 Watts Room Heater For Bedroom | ISI Approved With 1 Year Warranty | For 250 Sq. Feet Blower Heater & Room Heaters Home For Winters,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",979,"1,999",0.51,3.9,157,"AGUJD7ONEYENBWZTZDMV2R5WUS5Q,AFX56WJDKZA5QDCLNHWGZE4WBM2A,AHQH32FK57N5R4DXCYRDFJERD3MA,AF3O2DRWWLEEYZOWDPONHNCYOYCA,AHBY5WOGTC3LCNKSXEH6XYLX4C7A,AEB2QT7KVD2RVAWLPXGQFJ3ERYWQ,AFT3QGE4IU2G7IBMCWEWET7DAAAQ,AEQR7OAEEWSVH3FXEK6VO2ELW2LQ","Manish kumar,Randh,Vijay Singh Negi,Lallan T.,Shubhangi Mehrotra,Rompy,Vipin,kapish","R3EH3U82O1X3NA,RFZS8GTC3FBL5,RPXUHUM30UTOQ,R1AI9WFQ3G1DHX,RW7GLU8WKBE0M,R8JGWFB8APIP2,R2WSL4EHLPOXQ6,R1B73QMNM4YS1Q","Size of heater is small,good product,Power Cord is too short. How and where to use it? Do I spend further on Extension Board???,Not relatable product. No after sell service,Portable and efficient room heater,Useful product,Best Blower for the office use,Good product for room"
B014HDJ7ZE,"Bajaj Majesty Duetto Gas 6 Ltr Vertical Water Heater ( LPG), White","Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters","5,365","7,445",0.28,3.9,"3,584","AH2PWK54MG3S6EOHGLGP3LTQJOAQ,AHKY24SIF5BG5XOFBACXN33XUO3Q,AGLCQ6Z2KEIXM7DC7JFZEN623CHQ,AGVRXUM3GMUGSUDI2BCELQ5G3MRQ,AFFJF7JN2X3UKBT33BHFMU2FCDIQ,AH3LPGUYC6VZUHBLHZKGMMBT5HGQ,AHHQ5CWRAMNLLPSINLJSICBU7CRQ,AGSHCIHX3V7HS6F6W2XTBOYFX5WQ","jaydeep barad,Amazon Customer,Mukesh,Mitesh Thakur,Tejas D.,Jeet singh,Himanso,mohit goyal","R3573XWMBZ88LW,RYNFBD6U8G0VG,R2NLFJL73LNWXM,R1DOYFCE2U82WE,ROTYDHVA4QC9L,R314WOWD2JI7BC,RFMW7AV5SCYI4,R17OEBPM77XXFS","Yet to know the performance,Good,Hamara bajaj...,Battery isue,Good but PNG model is Made In China,Value for money,Expansive,Service and Installation"
B07D2NMTTV,Black + Decker BD BXIR2201IN 2200-Watt Cord & Cordless Steam Iron (Green),"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons","3,199","3,500",0.09,4.2,"1,899","AEUTMRODCZ5QP6FRYACICHQHJGJA,AGBAIGEU4LX4TAQQOENWMZBZCV3A,AHDSUGLHNAFKFMGKJPLS5HLJFL7Q,AHBRTDUHKMIYUZLP6W7RM4IMFV4A,AHK6Y7FOVUIRNCIYQUA4BBIKXOGA,AFH3LWABFWVDV36O4EA7EDMVB7OQ,AGK46AGUBC3MLDF3UJFYKYVXX7JA,AGZ2OFZQWKMUV5RUP367QIUEDFWQ","Sivaraman S,V Rajendra Kumar,Mrigank,Valmiki Sravani,Rahul Raj,Dr.Aasif,Kshitij Gupta,Melvyn lobo","RDXQHIOFK1PKR,R3SVTCGHMIRBEU,R1IZIEXJ4GIYSS,RDUMYFY75NN95,R2GX29CH20R2HN,R246JQ5OCCXV4C,R3OUB0HZCUEZBL,R2ZYHN8QERPN3K","No entanglement,Iron with freedom,Good Iron,Steam iron!,It’s wireless,Good,Wonderful,Light weight and very adjustable to ur family needs"
